Location,Air Pollution,Asthma,Smoking,Population,Population_Density,Year
Missouri,9.1,9.6,22.3,5898000,85.7990748,2016
,,,,,,
Montana,6.3,8.9,18.9,1015100,6.974427329,2016
,,,,,,
Nebraska,7.3,7.2,17.1,1845000,24.01593252,2016
,,,,,,
Nevada,9.2,8.1,17.5,2890400,26.32878185,2016
,,,,,,
New Hampshire,6.6,10.1,15.9,1291300,144.230984,2016
,,,,,,
New Jersey,8.8,7.2,13.5,8762700,1191.555616,2016
,,,,,,
New Mexico,6,9.9,17.5,2029400,16.7306963,2016
,,,,,,
New York,7.5,9.9,15.2,19221500,407.874634,2016
,,,,,,
North Carolina,8,8.2,19,9829900,202.186433,2016
,,,,,,
North Dakota,4.9,9,18.7,725900,10.52013739,2016
,,,,,,
Ohio,10.2,10,21.6,11278700,276.0260395,2016
,,,,,,
Oklahoma,8.7,9.5,22.2,3800800,55.40928639,2016
,,,,,,
Oregon,7.3,11.2,17.1,4014500,41.8229362,2016
,,,,,,
Pennsylvania,11,10.2,18.1,12364700,276.3493731,2016
,,,,,,
Rhode Island,7.5,11,15.5,1013900,980.5609284,2016
,,,,,,
South Carolina,7.9,8.2,19.7,4805300,159.851635,2016
,,,,,,
South Dakota,6.3,8.4,20.1,835800,11.02478532,2016
,,,,,,
Tennessee,8.6,9,21.9,6467700,156.8497636,2016
,,,,,,
Texas,9.4,7.6,15.2,27178300,104.0389386,2016
,,,,,,
Utah,9.2,9,9.1,2999300,36.50115614,2016
,,,,,,
Vermont,5.6,11,16,599600,65.05370511,2016
,,,,,,
Virginia,7.8,7.9,16.5,8080900,204.6315523,2016
,,,,,,
Washington,8.3,9.4,15,7124100,107.2002528,2016
,,,,,,
West Virginia,7.9,10.8,25.7,1781700,74.12014311,2016
,,,,,,
Wisconsin,7.9,9.5,17.3,5623300,103.8313823,2016
,,,,,,
Wyoming,4.4,8,19.1,569400,5.864480447,2016
,,,,,,
Alabama,8.9,9.7,21.5,4741400,93.62029815,2017
,,,,,,
Alaska,8.7,8.8,19,710100,1.244390081,2017
,,,,,,
Arizona,9.7,9.4,14.7,6841300,60.22589221,2017
,,,,,,
Arkansas,7.2,8.5,23.6,2910000,55.92389738,2017
,,,,,,
California,11.7,7.8,11,38713900,248.5180929,2017
,,,,,,
Colorado,6.6,8.8,15.6,5461100,52.69195886,2017
,,,,,,
Connecticut,8.6,10.5,13.3,3478700,718.4427922,2017
,,,,,,
Delaware,9.1,8.5,17.7,931700,478.0400205,2017
,,,,,,
Florida,6.8,6.7,15.5,20532300,382.8867133,2017
,,,,,,
Georgia,9,8.5,17.9,10121400,175.98456,2017
,,,,,,
Hawaii,5.9,10.7,13.1,1356100,211.1318698,2017
,,,,,,
Idaho,5.9,9.3,14.5,1682100,20.35381097,2017
,,,,,,
Illinois,10.2,8.9,15.8,12496600,225.0869072,2017
,,,,,,
Indiana,9.7,10.2,21.1,6459400,180.299224,2017
,,,,,,
Iowa,7.8,7.8,16.7,3045600,54.52494763,2017
,,,,,,
Kansas,7.3,8.8,17.2,2817600,34.46226104,2017
,,,,,,
Kentucky,8.8,11.6,24.5,4307100,109.0791673,2017
,,,,,,
Louisiana,7.8,8.4,22.8,4541500,105.1175817,2017
,,,,,,
Maine,6.4,12.2,19.8,1300200,42.15543235,2017
,,,,,,
Maryland,9,9.4,13.7,5892900,607.0773668,2017
,,,,,,
Massachusetts,6.2,10.3,13.6,6620600,848.7948718,2017
,,,,,,
Michigan,8.7,10.9,20.4,9720300,171.9220361,2017
,,,,,,
Minnesota,7.5,7.6,15.2,5446600,68.40142163,2017
,,,,,,
Mississippi,7.5,8,22.7,2884500,61.4730516,2017
,,,,,,
Missouri,8.3,9.9,22.1,5921300,86.13802333,2017
,,,,,,
Montana,6,8.5,18.5,1022600,7.025957429,2017
,,,,,,
Nebraska,7,8.3,17,1859200,24.20077059,2017
,,,,,,
Nevada,9.1,7.9,16.5,2946600,26.84071014,2017
,,,,,,
New Hampshire,5.9,11.4,18,1297000,144.8676421,2017
,,,,,,
New Jersey,8.5,8.2,14,8823900,1199.877618,2017
,,,,,,
New Mexico,5.7,11.8,16.6,2038200,16.8032449,2017
,,,,,,
New York,7.2,9.5,14.2,19315700,409.8735305,2017
,,,,,,
North Carolina,7.8,8,17.9,9948800,204.6320293,2017
,,,,,,
North Dakota,4.2,9,19.8,726000,10.52158664,2017
,,,,,,
Ohio,9.6,9.7,22.5,11323500,277.1224395,2017
,,,,,,
Oklahoma,8.1,10,19.6,3803700,55.45156353,2017
,,,,,,
Oregon,6.8,10.5,16.2,4063000,42.32820769,2017
,,,,,,
Pennsylvania,10.1,10.6,18,12389100,276.8947098,2017
,,,,,,
Rhode Island,7.5,10.7,14.4,1015900,982.4951644,2017
,,,,,,
South Carolina,7.8,8.8,20,4864600,161.8242906,2017
,,,,,,
South Dakota,5.5,6.2,18.1,837000,11.04061416,2017
,,,,,,
Tennessee,8.2,10.9,22.1,6538200,158.5594762,2017
,,,,,,
Texas,8.9,7.6,14.3,27621300,105.7347492,2017
,,,,,,
Utah,8.1,8.3,8.8,3047400,37.08652793,2017
,,,,,,
Vermont,5.5,10.2,17,600200,65.11880221,2017
,,,,,,
Virginia,7.5,8.6,15.3,8140700,206.1458597,2017
,,,,,,
Washington,7.8,9.6,13.9,7239800,108.9412544,2017
,,,,,,
West Virginia,7.7,11.8,24.8,1762100,73.30476745,2017
,,,,,,
Wisconsin,7.4,8.5,17.1,5643000,104.1951328,2017
,,,,,,
Wyoming,3.8,9.5,18.9,563300,5.801654084,2017
,,,,,,
Alabama,8.4,10.9,20.9,4752600,93.84144535,2018
,,,,,,
Alaska,7.4,8.4,21,709100,1.242637665,2018
,,,,,,
Arizona,9.7,9.8,15.6,7004300,61.66082716,2018
,,,,,,
Arkansas,7.1,9.6,22.3,2921300,56.1410589,2018
,,,,,,
California,11.9,7.9,11.3,38745900,248.7235122,2018
,,,,,,
Colorado,6.7,9.3,14.6,5555200,53.59989194,2018
,,,,,,
Connecticut,7.7,10.7,12.7,3466300,715.881867,2018
,,,,,,
Delaware,8.6,10.6,17,937700,481.1185223,2018
,,,,,,
Florida,7.1,7.5,16.1,20843500,388.6899767,2018
,,,,,,
Georgia,8.6,8.4,17.5,10212800,177.5737659,2018
,,,,,,
Hawaii,5.8,9.8,12.8,1354800,210.9294722,2018
,,,,,,
Idaho,6.7,9,14.3,1719600,20.80756991,2018
,,,,,,
Illinois,9.6,8.2,15.5,12438400,224.0386174,2018
,,,,,,
Indiana,8.7,10,21.8,6487100,181.0724055,2018
,,,,,,
Iowa,7.2,9.3,17.1,3056800,54.72545966,2018
,,,,,,
Kansas,6.9,9.1,17.4,2814700,34.42679093,2018
,,,,,,
Kentucky,8.2,10.7,24.6,4320300,109.413463,2018
,,,,,,
Louisiana,8,9,23.1,4519300,104.6037404,2018
,,,,,,
Maine,6.5,11.2,17.3,1299500,42.13273676,2018
,,,,,,
Maryland,8.3,9.4,13.8,5870800,604.8006593,2018
,,,,,,
Massachusetts,6,11.5,13.7,6659900,853.8333333,2018
,,,,,,
Michigan,8.3,10.8,19.3,9770000,172.8010754,2018
,,,,,,
Minnesota,7.1,7.3,14.5,5489000,68.93390433,2018
,,,,,,
Mississippi,7.6,8.3,22.2,2879400,61.36436289,2018
,,,,,,
Missouri,7.9,9.4,20.8,5934500,86.33004568,2018
,,,,,,
Montana,6.8,9.1,17.2,1034000,7.104283182,2018
,,,,,,
Nebraska,7.1,8.2,15.4,1868900,24.32703322,2018
,,,,,,
Nevada,8.8,10.4,17.6,2983400,27.17592297,2018
,,,,,,
New Hampshire,5,13.2,15.7,1310300,146.3531777,2018
,,,,,,
New Jersey,8.3,8.6,13.7,8728300,1186.87789,2018
,,,,,,
New Mexico,5.8,10.5,17.5,2045300,16.86177843,2018
,,,,,,
New York,7,9.2,14.1,19016900,403.5330815,2018
,,,,,,
North Carolina,7.4,9.2,17.2,10044400,206.5983792,2018
,,,,,,
North Dakota,4.5,8.6,18.3,730600,10.58825234,2018
,,,,,,
Ohio,9,9.9,21.1,11355900,277.9153716,2018
,,,,,,
Oklahoma,7.9,9.6,20.1,3816100,55.63233472,2018
,,,,,,
Oregon,7.7,10.9,16.1,4110800,42.82618661,2018
,,,,,,
Pennsylvania,9.7,10.1,18.7,12388100,276.8723599,2018
,,,,,,
Rhode Island,7.6,12.3,14.9,1014000,980.6576402,2018
,,,,,,
South Carolina,7.4,9.2,18.8,4929800,163.9932138,2018
,,,,,,
South Dakota,5.4,7.3,19.3,848700,11.19494532,2018
,,,,,,
Tennessee,7.7,10,22.6,6586400,159.7283861,2018
,,,,,,
Texas,8.6,7.3,15.7,28024000,107.2762908,2018
,,,,,,
Utah,8.3,8.9,8.9,3105900,37.79846659,2018
,,,,,,
Vermont,5.2,11.8,15.8,600600,65.16220028,2018
,,,,,,
Virginia,7.2,8.9,16.4,8182100,207.1942264,2018
,,,,,,
Washington,8,10.5,13.5,7368000,110.8703503,2018
,,,,,,
West Virginia,7.8,12.7,26,1752300,72.89707962,2018
,,,,,,
Wisconsin,6.8,9.5,16,5662800,104.5607297,2018
,,,,,,
Wyoming,5,9.1,18.7,560300,5.770755873,2018
,,,,,,
Alabama,8.1,10.5,19.2,4767100,94.127752,2019
,,,,,,
Alaska,6.4,9.2,19.1,701700,1.229669792,2019
,,,,,,
Arizona,9.7,10,14,7098000,62.48569467,2019
,,,,,,
Arkansas,7.1,9.8,22.7,2922500,56.1641203,2019
,,,,,,
California,12.8,8.5,11.2,38642700,248.0610352,2019
,,,,,,
Colorado,6.7,9.1,14.5,5611800,54.14600259,2019
,,,,,,
Connecticut,7.2,10.3,12.2,3453300,713.197026,2019
,,,,,,
Delaware,8.3,10.1,16.5,940300,482.4525398,2019
,,,,,,
Florida,7.4,8.7,14.5,20992000,391.4592075,2019
,,,,,,
Georgia,8.3,8.9,16.1,10294000,178.9856206,2019
,,,,,,
Hawaii,5.4,9.3,13.4,1343000,209.0923245,2019
,,,,,,
Idaho,6.8,8.6,14.7,1750900,21.18630737,2019
,,,,,,
Illinois,9.3,8.7,15.5,12362300,222.6679155,2019
,,,,,,
Indiana,8.4,10,21.1,6511800,181.7618489,2019
,,,,,,
Iowa,7.1,7.9,16.6,3060200,54.78632938,2019
,,,,,,
Kansas,7,9.8,17.2,2811200,34.38398219,2019
,,,,,,
Kentucky,8.1,11.5,23.4,4319300,109.3881376,2019
,,,,,,
Louisiana,7.9,8.9,20.5,4498600,104.1246181,2019
,,,,,,
Maine,5.9,12.3,17.8,1302300,42.22351911,2019
,,,,,,
Maryland,7.7,9.3,12.5,5875500,605.284846,2019
,,,,,,
Massachusetts,6.3,10.2,13.4,6650800,852.6666667,2019
,,,,,,
Michigan,8,11.2,18.9,9765600,172.723253,2019
,,,,,,
Minnesota,6.6,8.3,15.1,5514800,69.25791503,2019
,,,,,,
Mississippi,7.7,9.7,20.5,2867100,61.10223132,2019
,,,,,,
Missouri,7.5,9.4,19.4,5939900,86.40860027,2019
,,,,,,
Montana,6.6,10,18,1039400,7.141384854,2019
,,,,,,
Nebraska,7.1,8.9,16,1873600,24.38821202,2019
,,,,,,
Nevada,9,8,15.7,3029700,27.59767173,2019
,,,,,,
New Hampshire,4.4,11.8,15.6,1314000,146.766447,2019
,,,,,,
New Jersey,8.1,8.4,13.1,8699400,1182.948055,2019
,,,,,,
New Mexico,6,9.9,15.2,2041400,16.82962621,2019
,,,,,,
New York,6.6,10.1,12.8,18908300,401.2286211,2019
,,,,,,
North Carolina,7.2,9.4,17.4,10139700,208.5585586,2019
,,,,,,
North Dakota,4.6,8.2,19.1,731000,10.59404936,2019
,,,,,,
Ohio,8.5,9.4,20.5,11351500,277.8076895,2019
,,,,,,
Oklahoma,8.2,10.3,19.7,3826900,55.7897806,2019
,,,,,,
Oregon,7.8,11.6,15.6,4128900,43.01475184,2019
,,,,,,
Pennsylvania,9.2,10,17,12377600,276.6376863,2019
,,,,,,
Rhode Island,7.3,11.9,14.6,1017100,983.655706,2019
,,,,,,
South Carolina,7.4,9.1,18,4984200,165.8028675,2019
,,,,,,
South Dakota,5.1,7.9,19,851300,11.22924114,2019
,,,,,,
Tennessee,7.4,9.8,20.7,6640900,161.0500788,2019
,,,,,,
Texas,8.3,7.4,14.4,28286200,108.2799963,2019
,,,,,,
Utah,8.4,9.3,9,3154100,38.38505537,2019
,,,,,,
Vermont,5.1,12,13.7,598100,64.89096235,2019
,,,,,,
Virginia,6.9,8.5,14.9,8185100,207.270195,2019
,,,,,,
Washington,8,9.6,12,7423900,111.7115084,2019
,,,,,,
West Virginia,7.6,12.3,25.2,1739000,72.343789,2019
,,,,,,
Wisconsin,6.8,9,16.4,5677100,104.824772,2019
,,,,,,
Wyoming,5,8.7,18.8,562700,5.795474442,2019
,,,,,,
Alabama,8,9.5,20.2,5024279,99.20582486,2020
,,,,,,
Alaska,6.9,9.9,17.4,733391,1.285205585,2020
,,,,,,
Arizona,8.6,9.7,14.9,7151502,62.95668785,2020
,,,,,,
Arkansas,7.3,9.3,20.2,3011524,57.87496877,2020
,,,,,,
California,12.6,7.8,10,39538223,253.8097112,2020
,,,,,,
Colorado,6.7,9.7,13.5,5773714,55.70824569,2020
,,,,,,
Connecticut,7,10.5,12.1,3605944,744.7220157,2020
,,,,,,
Delaware,8.3,9.8,15.9,989948,507.926116,2020
,,,,,,
Florida,7.3,7.4,14.8,21538187,401.6445128,2020
,,,,,,
Georgia,7.9,7.7,16.3,10711908,186.251943,2020
,,,,,,
Hawaii,4.8,9.6,12.3,1455271,226.5718512,2020
,,,,,,
Idaho,6.6,10,15.3,1839106,22.253621,2020
,,,,,,
Illinois,9.5,8.2,14.5,12812508,230.7769953,2020
,,,,,,
Indiana,8.7,9.8,19.2,6785528,189.4023335,2020
,,,,,,
Iowa,7.3,8,16.4,3190369,57.11672664,2020
,,,,,,
Kansas,7.4,9.9,16.2,2937880,35.93341406,2020
,,,,,,
Kentucky,7.9,9.5,23.6,4505836,114.1122423,2020
,,,,,,
Louisiana,8,7.9,21.9,4657757,107.8084668,2020
,,,,,,
Maine,5.3,11.8,17.6,1362359,44.17076808,2020
,,,,,,
Maryland,7.2,9,12.7,6177224,636.3679819,2020
,,,,,,
Massachusetts,6.4,10.3,12,7029917,901.2714103,2020
,,,,,,
Michigan,8,11.1,18.7,10077331,178.23681,2020
,,,,,,
Minnesota,6.8,8.3,14.6,5706494,71.66531453,2020
,,,,,,
Mississippi,7.8,9.9,20.4,2961279,63.10932805,2020
,,,,,,
Missouri,7.6,10.1,19.6,6154913,89.53642606,2020
,,,,,,
Montana,6.3,10,16.6,1084225,7.449363088,2020
,,,,,,
Nebraska,7,8,14.7,1961504,25.53243778,2020
,,,,,,
Nevada,8.3,9.4,15.7,3104614,28.28006668,2020
,,,,,,
New Hampshire,4.1,10.8,15.9,1377529,153.8622808,2020
,,,,,,
New Jersey,8,8.4,13.1,9288994,1263.121295,2020
,,,,,,
New Mexico,5.9,8.4,16,2117522,17.45718808,2020
,,,,,,
New York,6.4,9.3,12.7,20201249,428.6646225,2020
,,,,,,
North Carolina,7,8.3,18.5,10439388,214.7226953,2020
,,,,,,
North Dakota,5,8.1,17,779094,11.29105375,2020
,,,,,,
Ohio,8.7,11.1,20.8,11799448,288.7704168,2020
,,,,,,
Oklahoma,8.4,10.2,18.9,3959353,57.72072308,2020
,,,,,,
Oregon,8.3,11.1,14.5,4237256,44.14360128,2020
,,,,,,
Pennsylvania,8.8,10.9,17.3,13002700,290.6085868,2020
,,,,,,
Rhode Island,7,11.2,13.3,1097379,1061.294971,2020
,,,,,,
South Carolina,7.2,9.4,17.5,5118425,170.2679552,2020
,,,,,,
South Dakota,5.2,8.5,18.3,886667,11.69575655,2020
,,,,,,
Tennessee,7.2,8.8,19.9,6910840,167.5964593,2020
,,,,,,
Texas,8.4,7.1,14.7,29145505,111.5694287,2020
,,,,,,
Utah,7.8,9.9,7.9,3271616,39.81521236,2020
,,,,,,
Vermont,4.8,11.6,15.1,643077,69.7707497,2020
,,,,,,
Virginia,6.9,8.8,14,8631393,218.5716131,2020
,,,,,,
Washington,8.3,9.9,12.6,7705281,115.9456031,2020
,,,,,,
West Virginia,7.4,11.5,23.8,1793716,74.6200183,2020
,,,,,,
Wisconsin,7,10.2,15.4,5893718,108.8245135,2020
,,,,,,
Wyoming,4.5,9.5,18.4,576851,5.941221303,2020
